point_order,mtm points,mtm_dependent,notch_labels,alteration_type,pl_point_x,pl_point_y,pl_point_altered_x,pl_point_altered_y,movement_x,movement_y
11430,,,,,29.822,10.298,34.822,10.298,5.0000000000000036,0.0
11431,,,,,29.909,10.061,34.909,10.061,5.0,0.0
11432,,,,,29.989,9.813,34.989000000000004,9.813,5.0000000000000036,0.0
11433,,,,,30.063,9.547,35.063,9.547,5.0000000000000036,0.0
11434,,,,,30.13,9.254,35.129999999999995,9.254,4.9999999999999964,0.0
11435,,,,,30.191,8.935,35.191,8.935,5.0000000000000036,0.0
11436,,,,,30.244,8.592,35.244,8.592,5.0,0.0
11437,,,,,30.292,8.233,35.292,8.233,5.0,0.0
11438,8019.0,,,,30.359,7.501,35.359,7.501,5.0,0.0
11439,,,,,30.394,6.72,35.394,6.72,5.0,0.0
11440,,,,,30.406,6.343,35.406,6.343,5.0,0.0
11441,,,,,30.41,5.427,35.41,5.427,4.9999999999999964,0.0
11443,,,notch,,30.252,3.127,35.251999999999995,3.127,4.9999999999999964,0.0
11444,8020.0,8017.0,notch,X Y MOVE,30.41,3.127,35.41,3.127,4.9999999999999964,0.0
11445,,,notch,,30.41,2.5,35.41,2.5,4.9999999999999964,0.0
11446,,,notch,,30.252,2.5,35.251999999999995,2.5,4.9999999999999964,0.0
11447,8021.0,,notch,,30.41,2.5,35.41,2.5,4.9999999999999964,0.0
11448,8022.0,8021.0,,X Y MOVE,30.41,0.0,35.41,0.0,4.9999999999999964,0.0
